target,source,weight
38,105,4
95,104,45
87,95,1
75,104,1
104,96,1
29,106,4
85,106,4
65,106,5
86,87,15
69,87,2
78,86,3
68,106,1
48,106,1
6,95,4
104,106,1
69,51,1
99,104,9
33,101,1
106,85,1
50,50,1
106,96,8
86,57,1
23,95,1
88,101,1
85,87,2
72,106,2
105,106,1
44,50,3
105,87,1
106,101,1
39,85,1
37,106,2
101,101,1
29,95,1
86,100,9
98,98,10
47,47,1
70,88,1
37,94,2
49,104,1
100,100,1
21,21,1
49,105,5
59,102,1
60,104,1
75,87,1
54,54,1
68,86,1
88,86,10
96,104,1
72,100,1
82,87,1
51,105,3
6,29,2
104,94,3
95,100,5
87,75,1
104,57,3
86,78,1
85,105,2
65,105,2
69,86,3
103,105,28
104,69,1
74,95,1
106,72,1
19,105,7
94,94,1
48,60,2
95,105,3
59,59,1
69,105,1
23,94,1
75,62,1
104,23,5
68,104,1
85,86,1
32,78,14
48,104,1
87,87,1
104,104,3
104,100,1
37,105,1
69,95,9
57,94,2
83,83,18
95,96,1
104,95,1
87,105,5
52,106,3
72,104,3
86,104,1
86,29,1
59,69,1
50,104,1
86,95,1
37,93,5
10,105,8
6,104,6
106,104,1
6,105,6
69,69,1
23,106,4
60,60,2
86,36,1
85,95,3
39,106,8
61,105,6
96,105,2
59,95,6
65,65,4
86,85,1
51,104,1
86,88,1
29,104,4
88,105,4
6,106,2
85,104,22
23,105,3
65,104,1
37,37,1
87,86,1
86,33,2
59,105,34
44,105,2
39,105,24
29,72,1
86,86,1
75,105,1
10,10,2
72,72,3
72,29,5
95,106,39
34,34,1
32,105,2
69,104,1
69,62,8
51,51,24
6,6,4
104,86,1
105,104,1
52,52,1
99,105,15
50,100,2
105,105,20
104,105,1
54,100,1
99,99,1
97,105,2
82,105,2
88,97,9
57,104,1
37,104,1
85,51,5
13,13,13
32,86,1
29,29,2
3,3,4
87,104,1
72,105,2
86,105,1
85,69,1
50,105,3
29,100,1
49,49,1
106,105,2
51,95,15
33,86,1
106,100,1
48,95,3
103,103,21
89,89,20
88,106,8
43,43,3
86,106,1
74,105,2
61,61,1
106,95,1
6,100,13
70,105,2
95,87,1
106,106,8
23,104,2
86,96,1
12,101,1
44,95,1
88,88,1
105,95,1
59,104,5
44,106,1
39,104,5
95,95,5
